Designator,Mid X,Mid Y,Rotation,Layer
BTN1,88.9,-101.6,180.0,top
BTN2,101.6,-101.6,180.0,top
BTN3,114.3,-101.6,180.0,top
BZ1,93.853,-64.897,180.0,bottom
C1,115.062,-66.2432,180.0,bottom
C2,115.062,-77.216,180.0,bottom
C3,116.078,-103.2256,0.0,bottom
C4,90.17,-108.0008,270.0,bottom
C5,87.7824,-63.5,90.0,bottom
C6,85.1408,-62.5856,0.0,bottom
C7,84.1756,-69.85,270.0,bottom
C8,86.106,-69.85,270.0,bottom
D1,85.979,-109.244,0.0,bottom
D2,85.979,-98.317,0.0,bottom
D3,100.076,-64.897,270.0,bottom
D4,92.71,-68.199,180.0,top
D5,101.6,-68.199,180.0,top
D6,110.49,-68.199,180.0,top
D7,84.4296,-59.436,90.0,bottom
J1,77.47,-62.623,90.0,bottom
J10,101.595,-68.199,0.0,top
J2,126.492,-84.455,90.0,bottom
J3,125.73,-95.25,270.0,bottom
J4,125.73,-106.287,270.0,bottom
J5,125.73,-62.623,270.0,bottom
J6,125.73,-73.66,270.0,bottom
J7,77.47,-106.287,90.0,bottom
J8,77.47,-95.25,90.0,bottom
J9,77.47,-76.962,90.0,bottom
Q1,117.221,-95.365,0.0,bottom
Q2,117.221,-106.292,0.0,bottom
Q3,85.979,-106.172,180.0,bottom
Q4,85.979,-95.245,180.0,bottom
Q5,100.711,-70.104,90.0,bottom
R1,118.618,-82.677,180.0,bottom
R10,110.998,-97.536,0.0,top
R11,116.078,-98.3488,0.0,bottom
R12,105.41,-53.3908,90.0,bottom
R13,102.87,-53.3908,270.0,bottom
R14,100.838,-83.4644,270.0,bottom
R2,118.618,-86.233,180.0,bottom
R3,113.665,-95.365,270.0,bottom
R4,113.665,-106.292,270.0,bottom
R5,86.995,-103.505,0.0,bottom
R6,86.995,-92.578,0.0,bottom
R7,100.711,-73.66,0.0,bottom
R8,85.598,-97.536,0.0,top
R9,98.298,-97.536,0.0,top
SW1,93.853,-74.168,180.0,bottom
SW2,117.221,-100.7872,0.0,bottom
SW3,85.979,-101.092,180.0,bottom
U1,101.6,-101.6,0.0,bottom
U2,113.03,-62.623,180.0,bottom
U3,113.03,-73.665,180.0,bottom
U4,85.1408,-65.7352,270.0,bottom
